SUBJECT, LOG, ENEMIES_DOWN, BULLETS_FIRED, X, Y, Z, BULLET_HITS, HEALTH

982 , 4/13/2017 1:46:14 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:15 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:15 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:16 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:16 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:17 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:17 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:18 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:18 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:19 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:19 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:20 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:20 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:21 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:21 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

982 , 4/13/2017 1:46:22 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:38 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:39 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:39 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:40 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:40 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:41 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:41 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:42 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:42 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:43 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:43 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:44 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:44 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:45 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:45 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:46 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:46 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:47 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:47 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:48 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:48 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:49 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:49 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:50 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:50 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:51 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:51 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:52 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:52 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:53 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:53 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:54 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:54 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:55 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:55 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:56 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:56 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:57 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:58 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:58 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:59 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:47:59 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:48:00 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

997 , 4/13/2017 1:48:00 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:22 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:23 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:23 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:24 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:24 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:25 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:25 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:26 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:26 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:27 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:27 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:28 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:28 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:29 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:29 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:30 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:30 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:31 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:31 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:32 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:32 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:33 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:33 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:34 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:34 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:35 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:35 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:36 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:36 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:37 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:37 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:38 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:38 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:39 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:39 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:40 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:41 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:41 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:42 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

678 , 4/13/2017 1:48:42 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

